insecte_sc,insecte_fr,Ordre,Super famille,Famille,Sous famille,Genre,Espèce
Cerambyx scopolii,Le Petit Capricorne,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Cerambyx,Cerambyx scopolii
Limenitis,Les Sylvains,Lepidoptera,Papilionoidea,Nymphalidae,Limenitidinae,Limenitis,
Tropidothorax leucopterus,La Lygée familière,Hemiptera,Lygaeoidea,Lygaeidae,Lygaeinae,Tropidothorax,Tropidothorax leucopterus
Sargus et autres,Les Stratiomes métalliques fins,Diptera,,Stratiomyidae,Sarginae,Sargus,
Tephritidae et autres,Les Téphritides sans taches,Diptera,Tephritoidea,Tephritidae,,,
Labidostomis,Les Labidostomes,Coleoptera,Chrysomeloidea,Chrysomelidae,Clytrinae,Labidostomis,
Trichodes apiarius,Le Clairon des abeilles,Coleoptera,Cleroidea,Cleridae,Clerinae,Trichodes,Trichodes apiarius
Calameuta pygmaea,Le Céphide à abdomen orange,Hymenoptera,Cephoidea,Cephidae,,Calameuta,Calameuta pygmaea
"Lysandra, Plebejus, Polyommatus",Les Azurés bleus à chevrons oranges,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatus,
Hemaris fuciformis,Le Sphinx gazé,Lepidoptera,Bombycoidea,Sphingidae,Macroglossinae,Hemaris,Hemaris fuciformis
Chrysididae,Les Chrysides,Hymenoptera,Chrysidoidea,Chrysididae,,,
Chloromyia,Les Chloromyies,Diptera,,Stratiomyidae,Sarginae,Chloromyia,
Gasteruption,Les Gastéruptions,Hymenoptera,Evanioidea,Gasteruptiidae,,Gasteruption,
Anthidium et autres,Les Anthidies,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidium,
Clytra et autres,Les Clytres et autres,Coleoptera,Chrysomeloidea,Chrysomelidae,Clytrinae,Clytra,
Anthaxia,L'Anthaxie hongroise (mâle) et autres,Coleoptera,Buprestoidea,Buprestidae,Buprestinae,Anthaxia,
Pseudophilotes baton,L'Azuré du Thym (femelle),Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Pseudophilotes,Pseudophilotes baton
Melitaea didyma,La Mélitée orangée,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Melitaea,Melitaea didyma
Cephidae,Les Céphides (autres),Hymenoptera,Cephoidea,Cephidae,,,
Scutelleridae,Les Scutellerides,Hemiptera,Pentatomoidea,Scutelleridae,,,
Acmaeops et autres,Les Longicornes rouges au thorax noir,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Acmaeops,
Physocephala,Les Conopides à abdomen rétréci,Diptera,Conopoidea,Conopidae,Conopinae,Physocephala,
Himacerus mirmicoides,Le juvénile d'Himacerus,Hemiptera,Cimicoidea,Nabidae,Nabinae,Himacerus,Himacerus mirmicoides
"Cantharis, Obrium et autres",Les Longicornes entièrement fauves,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Obrium,
Agapanthia cardui,L'Agapanthie des Chardons,Coleoptera,Chrysomeloidea,Cerambycidae,Lamiinae,Agapanthia,Agapanthia cardui
Lycaena,Les Cuivrés,Lepidoptera,Papilionoidea,Lycaenidae,Lycaeninae,Lycaena,
Chiasmia clathrata,Le Géomètre à barreaux,Lepidoptera,Geometroidea,Geometridae,Ennominae,Chiasmia,Chiasmia clathrata
Mycterus,Les Myctères,Coleoptera,Tenebrionoidea,Mycteridae,,Mycterus,
Dermaptera,Les Perce-oreilles,Dermaptera,,,,,
Zygaena,Les Zygènes à taches simples,Lepidoptera,Zygaenoidea,Zygaenidae,Zygaeninae,Zygaena,
Raphidiidae,Les Raphidies,Raphidioptera,,Raphidiidae,,,
Anthocomus fasciatus,Le Malachide à bandes rouges,Coleoptera,Cleroidea,Melyridae,Malachiinae,Anthocomus,Anthocomus fasciatus
Trichopoda pennipes,Le Trichopode,Diptera,Oestroidea,Tachinidae,Phasiinae,Trichopoda,Trichopoda pennipes
Alosterna tabacicolor,Le Grammoptère couleur de tabac,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Alosterna,Alosterna tabacicolor
"Odontomyia, Oplodontha",Les Stratiomes verts,Diptera,,Stratiomyidae,Stratiomyinae,Oplodontha,
Volucella pellucens,La Volucelle transparente,Diptera,Syrphoidea,Syrphidae,Eristalinae,Volucella,Volucella pellucens
Cantharis et autres,Les Longicornes noirs au thorax rouge,Coleoptera,Elateroidea,Cantharidae,Cantharinae,Cantharis,
Rhagium,Les Rhagies,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Rhagium,
Athalia rosae,L'Athalie des roses,Hymenoptera,Tenthredinoidea,Athaliidae,,Athalia,Athalia rosae
Rhagonycha fulva et autres,Le Téléphore fauve et autres,Coleoptera,Elateroidea,Cantharidae,Cantharinae,Rhagonycha,Rhagonycha fulva
Cupido et autres,Les Azurés marrons sans chevrons oranges,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Cupido,
Byturus tomentosus,Le Byturide aux petits yeux,Coleoptera,Cleroidea,Byturidae,,Byturus,Byturus tomentosus
"Anogcodes, Oedemera",Les Oedemères fauves (Alpes et Pyrénées),Coleoptera,Tenebrionoidea,Oedemeridae,,Oedemera,
"Anogcodes, Oedemera",Les Oedemères fauves,Coleoptera,Tenebrionoidea,Oedemeridae,,Oedemera,
"Exosoma, Lilioceris lilii",Le Criocère du Lis et autres,Coleoptera,Chrysomeloidea,Chrysomelidae,Criocerinae,Lilioceris,Lilioceris lilii
Opsilia coerulescens,La Phytoécie bleuâtre,Coleoptera,Chrysomeloidea,Cerambycidae,Lamiinae,Opsilia,Opsilia coerulescens
Melitaea et autres,Les Mélitées et Damiers autres,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Melitaea,
Anoplodera sexguttata,La Lepture à 6 taches,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Anoplodera,Anoplodera sexguttata
Hoplia argentea,L'Hoplie argentée,Coleoptera,Scarabaeoidea,Scarabaeidae,Melolonthinae,Hoplia,Hoplia argentea
Vespa crabro,Le Frelon européen,Hymenoptera,Vespoidea,Vespidae,Vespinae,Vespa,Vespa crabro
Volucella inflata,La Volucelle enflée,Diptera,Syrphoidea,Syrphidae,Eristalinae,Volucella,Volucella inflata
Rutpela maculata,La Lepture tachetée,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Rutpela,Rutpela maculata
Leptura et autres,Les Longicornes à bandes,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Leptura,
Panurgus,Les Abeilles Panurgus,Hymenoptera,Apoidea,Andrenidae,Panurginae,Panurgus,
Ropalopus et autres,Les Longicornes noirs aux pattes rouges,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Ropalopus,
Colletidae,Les Collètes (autres),Hymenoptera,Apoidea,Colletidae,,,
"Anogcodes, Ischnomera",Les Oedemères variés,Coleoptera,Tenebrionoidea,Oedemeridae,,Ischnomera,
Aporia crataegi,Le Gazé,Lepidoptera,Papilionoidea,Pieridae,Pierinae,Aporia,Aporia crataegi
Bombylella atra,Le Bombyle Atra,Diptera,Asiloidea,Bombyliidae,,Bombylella,Bombylella atra
Isomira et autres,Les Tenebrions marrons,Coleoptera,Tenebrionoidea,Tenebrionidae,Alleculinae,Isomira,
Hemipenthes morio,L'Anthracine morio,Diptera,Asiloidea,Bombyliidae,Anthracinae,Hemipenthes,Hemipenthes morio
Hemaris tityus,Le Sphinx-Bourdon,Lepidoptera,Bombycoidea,Sphingidae,Macroglossinae,Hemaris,Hemaris tityus
Stenopterus,Les Sténoptères fauves,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Stenopterus,
"Chrysanthia, Ischnomera",Les Chrysanthies et autres,Coleoptera,Tenebrionoidea,Oedemeridae,,Ischnomera,
Tachina grossa,La Tachinaire corpulente,Diptera,Oestroidea,Tachinidae,Tachininae,Tachina,Tachina grossa
Glaucopsyche alexis,L'Azuré des Cytises,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Glaucopsyche,Glaucopsyche alexis
Protaetia,Les Cétoines sombres glabres,Coleoptera,Scarabaeoidea,Scarabaeidae,Cetoniinae,Protaetia,
Ephemeroptera,Les Ephémères,Ephemeroptera,,,,,
"Donacia, Plateumaris",Les Chrysomèles allongées des milieux humides,Coleoptera,Chrysomeloidea,Chrysomelidae,Donaciinae,Plateumaris,
Temnostoma bombylans,La Milésie bourdon,Diptera,Syrphoidea,Syrphidae,Eristalinae,Temnostoma,Temnostoma bombylans
Pachyta et autres,Les Pachytes,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Pachyta,
Stictoleptura cordigera et autres,Les Longicornes porte-coeur,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Stictoleptura,Stictoleptura cordigera
"Ochlodes, Thymelicus",Les Hespéries fauves,Lepidoptera,Hesperioidea,Hesperiidae,Hesperiinae,Thymelicus,
Hamearis lucina,La Lucine,Lepidoptera,Papilionoidea,Riodinidae,Nemeobiinae,Hamearis,Hamearis lucina
Emmelia trabealis,L'Arlequinette jaune,Lepidoptera,Noctuoidea,Noctuidae,Acontiinae,Emmelia,Emmelia trabealis
Paracorymbia fulva et autres,Les Leptures fauves,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Paracorymbia,Paracorymbia fulva
Eilema,Les Lithosies et Manteaux,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Eilema,
Stenurella melanura,La Lepture à suture noire,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Stenurella,Stenurella melanura
Trichius,Les Trichies,Coleoptera,Scarabaeoidea,Scarabaeidae,Cetoniinae,Trichius,
Siona lineata,La Divisée,Lepidoptera,Geometroidea,Geometridae,Ennominae,Siona,Siona lineata
Anaglyptus mysticus,Le Clyte mystique,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Anaglyptus,Anaglyptus mysticus
Zygaena,Les Zygènes à taches cerclées,Lepidoptera,Zygaenoidea,Zygaenidae,Zygaeninae,Zygaena,
Maniola jurtina,Le Myrtil,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Maniola,Maniola jurtina
"Anogcodes, Oedemera",Les Oedemères fauves (de méditerranée),Coleoptera,Tenebrionoidea,Oedemeridae,,Oedemera,
Acmaeodera et autres,Les Buprestes à points,Coleoptera,Buprestoidea,Buprestidae,Polycestinae,Acmaeodera,
Trichodes leucopsideus,Le Clairon commun,Coleoptera,Cleroidea,Cleridae,Clerinae,Trichodes,Trichodes leucopsideus
Maniola jurtina et autres,Le Myrtil et autres (Méditerranée),Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Maniola,Maniola jurtina
Zygaena lavandulae,La Zygène de la Badasse,Lepidoptera,Zygaenoidea,Zygaenidae,Zygaeninae,Zygaena,Zygaena lavandulae
Isodontia mexicana,Le Sphégien noir à ailes fumées,Hymenoptera,Apoidea,Sphecidae,Sphecinae,Isodontia,Isodontia mexicana
Therevidae,Les Thérèves,Diptera,Asiloidea,Therevidae,,,
Megalodontes,Les Megalodontides,Hymenoptera,Pamphilioidea,Megalodontesidae,,Megalodontes,
Chrysopidae,Les larves de Chrysopes,Neuroptera,,Chrysopidae,,,
Cassida,Les Cassides,Coleoptera,Chrysomeloidea,Chrysomelidae,Cassidinae,Cassida,
Sesiidae,Les Sésies,Lepidoptera,Sesioidea,Sesiidae,,,
Lycaena dispar,Le Cuivré des marais (mâle),Lepidoptera,Papilionoidea,Lycaenidae,Lycaeninae,Lycaena,Lycaena dispar
Thyris fenestrella,Le Sphinx pygmée,Lepidoptera,Pyraloidea,Thyrididae,Thyridinae,Thyris,Thyris fenestrella
Coenonympha,Les Fadets à bande blanche,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Coenonympha,
Agapanthia,Les Agapanthies fauves,Coleoptera,Chrysomeloidea,Cerambycidae,Lamiinae,Agapanthia,
Coenonympha arcania,Le Céphale,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Coenonympha,Coenonympha arcania
Glaphyra et autres,Les Molorches et autres,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Glaphyra,
Erebia,Les Moirés à dessous sombre,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Erebia,
Megachile,Les Mégachiles à pattes blanches (mâles),Hymenoptera,Apoidea,Megachilidae,Megachilinae,Megachile,
"Adscita, Jordanita",Les Turquoises,Lepidoptera,Zygaenoidea,Zygaenidae,Procridinae,Jordanita,
Boudinotiana et autres,"L'Intruse, l'Illégitime et la Bréphine",Lepidoptera,Geometroidea,Geometridae,Archiearinae,Boudinotiana,
Sphex et autres,Les Sphégiens noirs,Hymenoptera,Apoidea,Sphecidae,Sphecinae,Sphex,
Pyrgus et autres,Les Hespéries brunes à taches (montagne),Lepidoptera,Hesperioidea,Hesperiidae,Pyrginae,Pyrgus,
Lixus et autres,Les Charançons longs,Coleoptera,Curculionoidea,Curculionidae,Lixinae,Lixus,
"Hycleus, Mylabris",Les Mylabres à bandes,Coleoptera,Tenebrionoidea,Meloidae,Meloinae,Mylabris,
Odezia atrata,Le Ramoneur,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Odezia,Odezia atrata
Pseudopanthera macularia,La Panthère,Lepidoptera,Geometroidea,Geometridae,Ennominae,Pseudopanthera,Pseudopanthera macularia
Cerocoma,Les Cerocomes,Coleoptera,Tenebrionoidea,Meloidae,Meloinae,Cerocoma,
Villa,Les Anthracines Villa,Diptera,Asiloidea,Bombyliidae,Anthracinae,Villa,
Coelioxys et autres,Les Mégachiles coucou,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Coelioxys,
Cerceris,Les Guêpes Cerceris,Hymenoptera,Apoidea,Crabronidae,Philanthinae,Cerceris,
Megascolia maculata,La Scolie des jardins (femelle),Hymenoptera,Scolioidea,Scoliidae,,Megascolia,Megascolia maculata
Zygaena,Les Zygènes rouges,Lepidoptera,Zygaenoidea,Zygaenidae,Zygaeninae,Zygaena,
Volucella zonaria,La Volucelle zonée,Diptera,Syrphoidea,Syrphidae,Eristalinae,Volucella,Volucella zonaria
Brintesia circe,La Silène,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Brintesia,Brintesia circe
Lomatia,Les Lomaties,Diptera,Asiloidea,Bombyliidae,Lomatiinae,Lomatia,
Melanargia galathea,Le Demi-Deuil,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Melanargia,Melanargia galathea
Lycidae,Les Lycides,Coleoptera,Elateroidea,Lycidae,,,
Cryptocephalus vittatus,Le Cryptocéphale à bandes blanches,Coleoptera,Chrysomeloidea,Chrysomelidae,Cryptocephalinae,Cryptocephalus,Cryptocephalus vittatus
Scolia et autres,Les Scolies à taches jaunes (autres),Hymenoptera,Scolioidea,Scoliidae,,Scolia,
Melanargia lachesis,L'Echiquier d'Ibérie,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Melanargia,Melanargia lachesis
Anthaxia nitidula,L'Anthaxie nitidula (femelle),Coleoptera,Buprestoidea,Buprestidae,Buprestinae,Anthaxia,Anthaxia nitidula
Plebejus,Les Azurés à taches bleues brillantes,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Plebejus,
Chrysotoxum bicinctum,Le Chrysotoxe à double ceinture,Diptera,Syrphoidea,Syrphidae,Syrphinae,Chrysotoxum,Chrysotoxum bicinctum
Agapanthia,Les Agapanthies violacées,Coleoptera,Chrysomeloidea,Cerambycidae,Lamiinae,Agapanthia,
Euphydryas aurinia,Le Damier de la Succise,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Euphydryas,Euphydryas aurinia
Lasiommata,Le Satyre et autres (montagne),Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Lasiommata,
Noctua fimbriata,La Frangée,Lepidoptera,Noctuoidea,Noctuidae,Noctuinae,Noctua,Noctua fimbriata
plusieurs Tabanidae,Les Taons sombres,Diptera,Tabanoidea,Tabanidae,,,
Satyrium,Les Théclas marrons (autres),Lepidoptera,Papilionoidea,Lycaenidae,Theclinae,Satyrium,
Delta unguiculatum,L'Eumène unguiculé,Hymenoptera,Vespoidea,Vespidae,Eumeninae,Delta,Delta unguiculatum
Hoplia coerulea,L'Hoplie bleue,Coleoptera,Scarabaeoidea,Scarabaeidea,Melolonthinae,Hoplia,Hoplia coerulea
Meromyza,Les Chloropides jaunes à fémurs enflés,Diptera,Carnoidea,Chloropidae,Chloropinae,Meromyza,
Blattellidae,Les Blattes,Blattodea,Blaberoidea,Blattellidae,,,
Melitaea diamina,Le Damier noir,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Melitaea,Melitaea diamina
Chlorophorus,Le Clyte figuré,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Chlorophorus,
Clanoptilus,Les Malachides sombres,Coleoptera,Cleroidea,Melyridae,Malachiinae,Clanoptilus,
Hipparchia et autres,Les Agrestes,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Hipparchia,
Carterocephalus palaemon,L'Hespérie Echiquier,Lepidoptera,Hesperioidea,Hesperiidae,Heteropterinae,Carterocephalus,Carterocephalus palaemon
Cteniopus,Les Tenebrions jaunes,Coleoptera,Tenebrionoidea,Tenebrionidae,Alleculinae,Cteniopus,
Nemotelus,Les Stratiomes blanc et noir,Diptera,,Stratiomyidae,Nemotelinae,Nemotelus,
Polyommatus daphnis,L'Azuré de l'Orobe,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatus,Polyommatus daphnis
Andrena florea,L'Andrène des fleurs,Hymenoptera,Apoidea,Andrenidae,Andreninae,Andrena,Andrena florea
Gnorimus nobilis,Le Gnorimus vert,Coleoptera,Scarabaeoidea,Scarabaeidae,Trichiinae,Gnorimus,Gnorimus nobilis
Bembix,Les Guêpes fouisseuses,Hymenoptera,Apoidea,Crabronidae,Bembicinae,Bembix,
Andrena albopunctata,L'Andrène à points blancs,Hymenoptera,Apoidea,Andrenidae,Andreninae,Andrena,Andrena albopunctata
Colpa quinquecincta,La Scolie sans taches jaunes,Hymenoptera,Scolioidea,Scoliidae,,Colpa,Colpa quinquecincta
Coptosoma scutellatum,Le Coptosoma,Hemiptera,Pentatomoidea,Plataspidae,,Coptosoma,Coptosoma scutellatum
Argynnis paphia,Le Tabac d'Espagne,Lepidoptera,Papilionoidea,Nymphalidae,Heliconiinae,Argynnis,Argynnis paphia
Aphantopus hyperantus,Le Tristan,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Maniola,Maniola hyperantus
Timarcha,Les Craches-sang,Coleoptera,Chrysomeloidea,Chrysomelidae,Chrysomelinae,Timarcha,
Gaurotes virginea,Le Gaurotes vierge,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Gaurotes,Gaurotes virginea
Exoprosopa,Les Anthracines Exoprosopa,Diptera,Asiloidea,Bombyliidae,Anthracinae,Exoprosopa,
Lycaena hippothoe,Le Cuivré écarlate (mâle),Lepidoptera,Papilionoidea,Lycaenidae,Lycaeninae,Lycaena,Lycaena hippothoe
Leptura aurulenta,La Lepture couleur d'or (à antennes jaunes),Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Leptura,Leptura aurulenta
Pyronia tithonus,L'Amaryllis,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Maniola,Maniola tithonus
Argynnis aglaja,Le Grand Nacré,Lepidoptera,Papilionoidea,Nymphalidae,Heliconiinae,Argynnis,Argynnis aglaja
Epeolus,Les Abeilles coucou noir et blanc à pattes rouges,Hymenoptera,Apoidea,Apidae,Nomadinae,Epeolus,
Callicera,Les Syrphes aux antennes à bout blanc,Diptera,Syrphoidea,Syrphidae,Eristalinae,Callicera,
Chrysops,Les Taons aux ailes tachetées,Diptera,Tabanoidea,Tabanidae,Chrysopsinae,Chrysops,
Autographa gamma et autres,Le Gamma et autres,Lepidoptera,Noctuoidea,Noctuidae,Plusiinae,Autographa,Autographa gamma
Coenonympha dorus,Le Fadet des garrigues,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Coenonympha,Coenonympha dorus
Mylabris et autres,Les Mylabres à points,Coleoptera,Tenebrionoidea,Meloidae,Meloinae,Mylabris,
Araschnia levana,La Carte géographique forme sombre,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Araschnia,Araschnia levana
Stictoleptura rubra,La Lepture rouge (femelle),Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Stictoleptura,Stictoleptura rubra
Graphosoma semipunctatum,Le Pentatome ponctué,Hemiptera,Pentatomoidea,Pentatomidae,Podopinae,Graphosoma,Graphosoma semipunctatum
Hypena et autres,Les Noctuelles à museau,Lepidoptera,Noctuoidea,Erebidae,Hypeninae,Hypena,
Sceliphron caementarium,Le Pélopée à pattes noir et jaune,Hymenoptera,Apoidea,Sphecidae,Sceliphrinae,Sceliphron,Sceliphron caementarium
Miltochrista miniata,La Rosette,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Miltochrista,Miltochrista miniata
Maculinea,Les Azurés des fourmis,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Phengaris,
Lycaena virgaureae,Le Cuivré de la Verge d'or (mâle),Lepidoptera,Papilionoidea,Lycaenidae,Lycaeninae,Lycaena,Lycaena virgaureae
Pyronia,L'Amaryllis et l'Ocelle de la Canche,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Maniola,
"Meria, Myzinum",Les Tiphides,Hymenoptera,Tiphioidea,Tiphiidae,Myzininae,Myzinum,
Chlorophorus varius,Le Clyte varié,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Chlorophorus,Chlorophorus varius
Laphria,Les Asilides velues,Diptera,Asiloidea,Asilidae,Laphriinae,Laphria,
Cacyreus marshalli,Le Brun des Pélargoniums,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Cacyreus,Cacyreus marshalli
Thyreus et autres,Les Abeilles coucou noir et blanc,Hymenoptera,Apoidea,Apidae,Apinae,Thyreus,
Minois dryas,Le Grand Nègre des bois,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Minois,Minois dryas
Hemipenthes maura,L'Anthracine maura,Diptera,Asiloidea,Bombyliidae,,Hemipenthes,Hemipenthes maura
Temnostoma vespiforme,La Milésie vespiforme,Diptera,Syrphoidea,Syrphidae,Eristalinae,Temnostoma,Temnostoma vespiforme
Erebia,Les Moirés à bande blanche,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Erebia,
Leptura aurulenta,La Lepture couleur d'or (à antennes noires),Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Leptura,Leptura aurulenta
Coptocephala,Les Coptocéphales,Coleoptera,Chrysomeloidea,Chrysomelidae,Clytrinae,Coptocephala,
Aricia nicias,L'Azuré des Géraniums,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Aricia,Aricia nicias
Prionyx kirbii,"Le Sphégien à abdomen orange, noir et blanc",Hymenoptera,Apoidea,Sphecidae,Sphecinae,Prionyx,Prionyx kirbii
Pyrochroa coccinea,Le Cardinal à tête noire,Coleoptera,Tenebrionoidea,Pyrochroidae,,Pyrochroa,Pyrochroa coccinea
Camptogramma bilineata,La Brocatelle d'or,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Camptogramma,Camptogramma bilineatum
"Atylotus, Silvius",Les Taons clairs,Diptera,Tabanoidea,Tabanidae,Chrysopsinae,Silvius,
Chlorophorus trifasciatus,Le Clyte à 3 bandes,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Chlorophorus,Chlorophorus trifasciatus
Erebia,Les Moirés à dessous marbré,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Erebia,
Hesperia comma,La Virgule,Lepidoptera,Hesperioidea,Hesperiidae,Hesperiinae,Hesperia,Hesperia comma
Euclidia mi,Le M noir,Lepidoptera,Noctuoidea,Erebidae,Erebinae,Euclidia,Euclidia mi
Anasimyia,Les Syrphes Anasimyia,Diptera,Syrphoidea,Syrphidae,Eristalinae,Anasimyia,
Micropterix,Les Micropterix,Lepidoptera,,Micropterigidae,,Micropterix,
Colpa sexmaculata,La Scolie Colpa (mâle),Hymenoptera,Scolioidea,Scoliidae,,Colpa,Colpa sexmaculata
Milesia crabroniformis,La Milésie frelon,Diptera,Syrphoidea,Syrphidae,Eristalinae,Milesia,Milesia crabroniformis
Colpa sexmaculata,La Scolie Colpa (femelle),Hymenoptera,Scolioidea,Scoliidae,,Colpa,Colpa sexmaculata
Callimus angulatus,Le Capricorne Callimus,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Callimus,Callimus angulatus
Tiphia femorata,La Tiphide aux pattes rouges,Hymenoptera,Tiphioidea,Tiphiidae,Tiphiinae,Tiphia,Tiphia femorata
Toxophora,Les Toxophores,Diptera,Asiloidea,Bombyliidae,Toxophorinae,Toxophora,
Euplagia quadripunctaria,L'Ecaille chinée,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Euplagia,Euplagia quadripunctaria
Hemipenthes velutina,L'Anthracine velutina,Diptera,Asiloidea,Bombyliidae,,Hemipenthes,Hemipenthes velutina
Oecanthus pellucens,Le Grillon d'Italie,Orthoptera,Grylloidea,Gryllidae,Oecanthinae,Oecanthus,Oecanthus pellucens
Volucella inanis,La Volucelle vide,Diptera,Syrphoidea,Syrphidae,Eristalinae,Volucella,Volucella inanis
Polyommatus,Les Sablés,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatus,
Parnassius,Les Apollons,Lepidoptera,Papilionoidea,Papilionidae,Parnassiinae,Parnassius,
Oxycera,Les Oxycères,Diptera,,Stratiomyidae,Stratiomyinae,Oxycera,
Cupido argiades,L'Azuré du Trèfle,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Cupido,Cupido argiades
Pleuroptya ruralis,La Pyrale du Houblon,Lepidoptera,Pyraloidea,Crambidae,Spilomelinae,Patania,Patania ruralis
Idaea aureolaria,L'Acidalie double-ceinture,Lepidoptera,Geometroidea,Geometridae,Sterrhinae,Idaea,Idaea aureolaria
Vespula rufa,La Guêpe rousse,Hymenoptera,Vespoidea,Vespidae,Vespinae,Vespula,Vespula rufa
"Lampides, Leptotes",Les Azurés migrateurs,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Leptotes,
Lycaena virgaureae,Le Cuivré de la Verge d'or (femelle),Lepidoptera,Papilionoidea,Lycaenidae,Lycaeninae,Lycaena,Lycaena virgaureae
Baccha elongata,La Baccha allongée,Diptera,Syrphoidea,Syrphidae,Syrphinae,Baccha,Baccha elongata
Malachius et autres,Les Malachides rouges,Coleoptera,Cleroidea,Melyridae,Malachiinae,Malachius,
Andrena marginata,L'Andrène marginée,Hymenoptera,Apoidea,Andrenidae,Andreninae,Andrena,Andrena marginata
Stenopterus,Les Sténoptères noirs,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Stenopterus,
Nymphalis antiopa,Le Morio,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalis,Nymphalis antiopa
Lepturobosca virens,La Lepture verdâtre,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Lepturobosca,Lepturobosca virens
Heriaeus,Les Araignées crabes velues,Araneae,,Thomisidae,,Heriaeus,
Colletes hederae,La Collète du Lierre,Hymenoptera,Apoidea,Colletidae,Colletinae,Colletes,Colletes hederae
Abia fasciata,L'Abia fasciata,Hymenoptera,Tenthredinoidea,Cimbicidae,,Abia,Abia fasciata
Thecla betulae,Le Thécla du Bouleau,Lepidoptera,Papilionoidea,Lycaenidae,Theclinae,Thecla,Thecla betulae
